Index,Date,Net Worth
1,2016-10-28,-191.73
2,2016-10-31,-190.59
3,2016-10-31,-215.94
4,2016-10-31,-213.76
5,2016-11-02,-246.85
6,2016-11-02,217.69000000000003
7,2016-11-10,211.69000000000003
8,2016-11-10,208.71000000000004
9,2016-11-15,2547.51
10,2016-11-16,3012.04
11,2016-11-17,3006.71
12,2016-11-22,3003.73
13,2016-11-28,3002.23
14,2016-11-28,2990.73
15,2016-11-28,3089.08
16,2016-11-30,3091.19
17,2016-11-30,3555.71
18,2016-11-30,3457.36
19,2016-11-30,3458.88
20,2016-12-05,3430.63
21,2016-12-07,3422.55
22,2016-12-07,3432.69
23,2016-12-08,8432.69
24,2016-12-08,7712.6900000000005
25,2016-12-08,2712.6900000000005
26,2016-12-08,2706.7400000000007
27,2016-12-13,3333.810000000001
28,2016-12-15,3311.360000000001
29,2016-12-16,7311.360000000001
30,2016-12-16,10416.79
31,2016-12-16,6416.790000000001
32,2016-12-20,6393.470000000001
33,2016-12-26,6380.600000000001
34,2016-12-26,6350.1100000000015
35,2016-12-26,6341.600000000001
36,2016-12-28,6806.120000000001
37,2016-12-28,6858.700000000001
38,2016-12-30,6806.120000000001
39,2016-12-31,6806.710000000001
40,2016-12-31,6812.920000000001
41,2017-01-01,6822.020000000001
42,2017-01-04,6842.020000000001
43,2017-01-09,6841.800000000001
44,2017-01-09,6838.590000000001
45,2017-01-09,6796.800000000001
46,2017-01-09,6757.280000000001
47,2017-01-09,6754.370000000001
48,2017-01-09,6753.800000000001
49,2017-01-09,6747.990000000001
50,2017-01-10,6740.910000000001
51,2017-01-10,6740.27
52,2017-01-11,6727.490000000001
53,2017-01-12,6517.97
54,2017-01-17,6516.490000000001
55,2017-01-17,6505.9400000000005
56,2017-01-17,6500.740000000001
57,2017-01-19,7998.890000000001
58,2017-01-20,7933.890000000001
59,2017-01-20,7876.100000000001
60,2017-01-23,7856.9000000000015
61,2017-01-23,7850.130000000001
62,2017-01-23,7751.840000000001
63,2017-01-23,7722.560000000001
64,2017-01-24,7675.120000000002
65,2017-01-26,7675.690000000001
66,2017-01-26,7777.220000000001
67,2017-01-28,7768.220000000001
68,2017-01-28,7748.220000000001
69,2017-01-28,7742.220000000001
70,2017-01-30,7737.540000000001
71,2017-01-30,7636.010000000001
72,2017-01-31,7635.750000000001
73,2017-01-31,7634.390000000001
74,2017-01-31,7642.710000000001
75,2017-01-31,7643.220000000001
76,2017-02-01,7639.970000000001
77,2017-02-02,8922.500000000002
78,2017-02-03,8925.410000000002
79,2017-02-03,11925.410000000002
80,2017-02-03,8925.410000000002
81,2017-02-06,8906.180000000002
82,2017-02-06,8824.930000000002
83,2017-02-06,8785.390000000001
84,2017-02-07,8772.090000000002
85,2017-02-08,8735.730000000001
86,2017-02-14,8723.03
87,2017-02-16,10005.560000000001
88,2017-02-19,9990.560000000001
89,2017-02-20,9955.2
90,2017-02-27,9926.95
91,2017-02-27,10388.550000000001
92,2017-02-28,10397.78
93,2017-02-28,10398.210000000001
94,2017-03-01,10390.300000000001
95,2017-03-01,10394.130000000001
